Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request Date,Request Hour,Request Day,Drop Date,Drop Hour,Time Slot,Trip Duration (min),Status Category
619,Airport,1.0,Trip Completed,2016-07-11 11:51:00,2016-07-11 13:00:00,2016-07-11,11,Monday,2016-07-11,13.0,Morning,69.0,Success
867,Airport,1.0,Trip Completed,2016-07-11 17:57:00,2016-07-11 18:47:00,2016-07-11,17,Monday,2016-07-11,18.0,Evening,50.0,Success
1807,City,1.0,Trip Completed,2016-07-12 09:17:00,2016-07-12 09:58:00,2016-07-12,9,Tuesday,2016-07-12,9.0,Morning,41.0,Success
2532,Airport,1.0,Trip Completed,2016-07-12 21:08:00,2016-07-12 22:03:00,2016-07-12,21,Tuesday,2016-07-12,22.0,Night,55.0,Success
3112,City,1.0,Trip Completed,2016-07-13 08:33:16,2016-07-13 09:25:47,2016-07-13,8,Wednesday,2016-07-13,9.0,Morning,52.516666666666666,Success
3879,Airport,1.0,Trip Completed,2016-07-13 21:57:28,2016-07-13 22:28:59,2016-07-13,21,Wednesday,2016-07-13,22.0,Night,31.516666666666666,Success
4270,Airport,1.0,Trip Completed,2016-07-14 06:15:32,2016-07-14 07:13:15,2016-07-14,6,Thursday,2016-07-14,7.0,Early Morning,57.71666666666667,Success
5510,Airport,1.0,Trip Completed,2016-07-15 05:11:52,2016-07-15 06:07:52,2016-07-15,5,Friday,2016-07-15,6.0,Early Morning,56.0,Success
6248,City,1.0,Trip Completed,2016-07-15 17:57:27,2016-07-15 18:50:51,2016-07-15,17,Friday,2016-07-15,18.0,Evening,53.4,Success
267,City,2.0,Trip Completed,2016-07-11 06:46:00,2016-07-11 07:25:00,2016-07-11,6,Monday,2016-07-11,7.0,Early Morning,39.0,Success
1467,Airport,2.0,Trip Completed,2016-07-12 05:08:00,2016-07-12 06:02:00,2016-07-12,5,Tuesday,2016-07-12,6.0,Early Morning,54.0,Success
1983,City,2.0,Trip Completed,2016-07-12 12:30:00,2016-07-12 12:57:00,2016-07-12,12,Tuesday,2016-07-12,12.0,Afternoon,27.0,Success
2784,Airport,2.0,Trip Completed,2016-07-13 04:49:20,2016-07-13 05:23:03,2016-07-13,4,Wednesday,2016-07-13,5.0,Early Morning,33.71666666666667,Success
3075,City,2.0,Trip Completed,2016-07-13 08:02:53,2016-07-13 09:16:19,2016-07-13,8,Wednesday,2016-07-13,9.0,Morning,73.43333333333334,Success
3379,City,2.0,Trip Completed,2016-07-13 14:23:02,2016-07-13 15:35:18,2016-07-13,14,Wednesday,2016-07-13,15.0,Afternoon,72.26666666666667,Success
3482,Airport,2.0,Trip Completed,2016-07-13 17:23:18,2016-07-13 18:20:51,2016-07-13,17,Wednesday,2016-07-13,18.0,Evening,57.55,Success
4652,City,2.0,Trip Completed,2016-07-14 12:01:02,2016-07-14 12:36:46,2016-07-14,12,Thursday,2016-07-14,12.0,Afternoon,35.733333333333334,Success
5335,Airport,2.0,Trip Completed,2016-07-14 22:24:13,2016-07-14 23:18:52,2016-07-14,22,Thursday,2016-07-14,23.0,Night,54.65,Success
535,Airport,3.0,Trip Completed,2016-07-11 10:00:00,2016-07-11 10:31:00,2016-07-11,10,Monday,2016-07-11,10.0,Morning,31.0,Success
960,Airport,3.0,Trip Completed,2016-07-11 18:45:00,2016-07-11 19:23:00,2016-07-11,18,Monday,2016-07-11,19.0,Evening,38.0,Success
1934,Airport,3.0,Trip Completed,2016-07-12 11:17:00,2016-07-12 12:23:00,2016-07-12,11,Tuesday,2016-07-12,12.0,Morning,66.0,Success
2083,Airport,3.0,Trip Completed,2016-07-12 15:46:00,2016-07-12 16:40:00,2016-07-12,15,Tuesday,2016-07-12,16.0,Afternoon,54.0,Success
2211,Airport,3.0,Trip Completed,2016-07-12 18:00:00,2016-07-12 18:28:00,2016-07-12,18,Tuesday,2016-07-12,18.0,Evening,28.0,Success
3096,Airport,3.0,Trip Completed,2016-07-13 08:17:29,2016-07-13 09:22:37,2016-07-13,8,Wednesday,2016-07-13,9.0,Morning,65.13333333333334,Success
3881,Airport,3.0,Trip Completed,2016-07-13 21:54:18,2016-07-13 22:51:23,2016-07-13,21,Wednesday,2016-07-13,22.0,Night,57.083333333333336,Success
5254,City,3.0,Trip Completed,2016-07-14 21:23:03,2016-07-14 22:25:19,2016-07-14,21,Thursday,2016-07-14,22.0,Night,62.266666666666666,Success
5434,City,3.0,Trip Completed,2016-07-15 02:41:38,2016-07-15 03:24:43,2016-07-15,2,Friday,2016-07-15,3.0,Night,43.083333333333336,Success
5916,City,3.0,Trip Completed,2016-07-15 10:00:43,2016-07-15 10:53:06,2016-07-15,10,Friday,2016-07-15,10.0,Morning,52.38333333333333,Success
669,City,4.0,Trip Completed,2016-07-11 13:08:00,2016-07-11 13:49:00,2016-07-11,13,Monday,2016-07-11,13.0,Afternoon,41.0,Success
1567,Airport,4.0,Trip Completed,2016-07-12 06:21:00,2016-07-12 07:10:00,2016-07-12,6,Tuesday,2016-07-12,7.0,Early Morning,49.0,Success
1826,City,4.0,Trip Completed,2016-07-12 09:27:00,2016-07-12 10:27:00,2016-07-12,9,Tuesday,2016-07-12,10.0,Morning,60.0,Success
2102,City,4.0,Trip Completed,2016-07-12 16:09:00,2016-07-12 17:01:00,2016-07-12,16,Tuesday,2016-07-12,17.0,Evening,52.0,Success
